Centro,Distrito Centro,Tramo Edad,Proceso,N_demandas
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,18 - 24,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALOJAMIENTO,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,18 - 24,CENTRO DE APOYO A LA FAMILIA,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,18 - 24,CENTRO DE DÍA DEPENDENCIA (PERSONAS CON DETERIORO FÍSICO O RELACIONAL),1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,18 - 24,CENTROS ABIERTOS ,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,18 - 24,COBERTURA NECESIDADES BASICAS,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,18 - 24,CURSOS Y ACTIVIDADES DE FORMACIÓN,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,18 - 24,DEPENDENCIA CM,13
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,18 - 24,EDUCACIÓN / CULTURA CM,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,18 - 24,INFORME DERIVACION GENERAL,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,18 - 24,INGRESO MÍNIMO VITAL,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,18 - 24,OFICINA MUNICIPAL DE INFORMACIÓN Y ORIENTACION PARA POBLACION INMIGRANTE,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,18 - 24,PENSION NO CONTRIBUTIVA CM,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,18 - 24,PENSION NO CONTRIBUTIVA INVALIDEZ,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,18 - 24,RENTA MINÍMA DE INSERCIÓN,8
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,18 - 24,RETORNO VOLUNTARIO PAIS DE ORIGEN,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,18 - 24,TRABAJO Y EMPLEO,26
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,18 - 24,VIVIENDA,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,25 - 29,ACTIVIDADES DE OCIO Y TIEMPO LIBRE,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,25 - 29,ACTIVIDADES PREVENTIVAS DE ESP. NECESIDAD MENORES,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,25 - 29,ASOCIACIONES ONG,4
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,25 - 29,AYUDA COMEDOR ESCOLAR,10
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,25 - 29,AYUDA ECONÓMICA COMEDOR ESCOLAR,7
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,25 - 29,AYUDA ECONÓMICA ESCUELA INFANTIL,3
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,25 - 29,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS,39
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,25 - 29,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALOJAMIENTO,3
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,25 - 29,AYUDA PAGO NECESIDADES DE ALOJAMIENTO,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,25 - 29,CENTRO BASE ATENC. PERSON. CON DISCAPACIDAD CM,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,25 - 29,CENTROS ABIERTOS ,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,25 - 29,COBERTURA NECESIDADES BASICAS,3
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,25 - 29,DEPENDENCIA CM,5
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,25 - 29,EDUCACIÓN / CULTURA CM,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,25 - 29,INFORME DERIVACION GENERAL,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,25 - 29,INGRESO MÍNIMO VITAL,7
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,25 - 29,OFICINA MUNICIPAL DE INFORMACIÓN Y ORIENTACION PARA POBLACION INMIGRANTE,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,25 - 29,PROYECTOS PROPIOS DEL DISTRITO,4
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,25 - 29,RENTA MINÍMA DE INSERCIÓN,9
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,25 - 29,RETORNO VOLUNTARIO PAIS DE ORIGEN,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,25 - 29,SERCAF MENORES,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,25 - 29,TRABAJO Y EMPLEO,31
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,25 - 29,VIVIENDA,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,30 - 34,ACTIVIDADES PREVENTIVAS DE ESP. NECESIDAD MENORES,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,30 - 34,ASOCIACIONES ONG,3
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,30 - 34,AYUDA COMEDOR ESCOLAR,4
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,30 - 34,AYUDA ECONÓMICA COMEDOR ESCOLAR,3
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,30 - 34,AYUDA ECONÓMICA ESCUELA INFANTIL,9
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,30 - 34,AYUDA ECONÓMICA GASTOS EXCEPCIONALES Y OTROS,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,30 - 34,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS,43
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,30 - 34,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALOJAMIENTO,9
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,30 - 34,CENTRO BASE ATENC. PERSON. CON DISCAPACIDAD CM,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,30 - 34,CENTRO DE APOYO A LA FAMILIA,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,30 - 34,CENTROS ABIERTOS ,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,30 - 34,COBERTURA NECESIDADES BASICAS,5
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,30 - 34,DEPENDENCIA CM,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,30 - 34,EDUCACIÓN / CULTURA CM,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,30 - 34,INFORME DERIVACION GENERAL,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,30 - 34,INFORME SOCIAL FISCALIA INCAPACITACIONES DE ADULTOS,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,30 - 34,INGRESO MÍNIMO VITAL,7
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,30 - 34,OFICINA MUNICIPAL DE INFORMACIÓN Y ORIENTACION PARA POBLACION INMIGRANTE,3
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,30 - 34,RENTA MINÍMA DE INSERCIÓN,11
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,30 - 34,SERCAF MENORES,3
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,30 - 34,TITULO FAMILIA NUMEROSA CM,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,30 - 34,TRABAJO Y EMPLEO,24
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,30 - 34,VIVIENDA,5
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,35 - 39,ACTIVIDADES PREVENTIVAS DE ESP. NECESIDAD MENORES,4
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,35 - 39,ASOCIACIONES ONG,3
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,35 - 39,ATENCIÓN PSICOLOGICA,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,35 - 39,AYUDA COMEDOR ESCOLAR,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,35 - 39,AYUDA ECONÓMICA COMEDOR ESCOLAR,4
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,35 - 39,AYUDA ECONÓMICA ESCUELA INFANTIL,5
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,35 - 39,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS,52
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,35 - 39,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALOJAMIENTO,10
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,35 - 39,AYUDA ESCUELA INFANTIL,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,35 - 39,CENTROS ABIERTOS ,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,35 - 39,COBERTURA NECESIDADES BASICAS,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,35 - 39,DEPENDENCIA CM,8
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,35 - 39,INFORME SOCIAL FISCALIA DE MENORES,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,35 - 39,INGRESO MÍNIMO VITAL,3
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,35 - 39,OFICINA MUNICIPAL DE INFORMACIÓN Y ORIENTACION PARA POBLACION INMIGRANTE,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,35 - 39,PENSION NO CONTRIBUTIVA INVALIDEZ,3
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,35 - 39,PROYECTOS PROPIOS DEL DISTRITO,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,35 - 39,RENTA MINÍMA DE INSERCIÓN,5
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,35 - 39,SALUD Y SEGURIDAD SOCIAL CM,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,35 - 39,SERCAF MENORES,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,35 - 39,SERV. ATENCIÓN MUJERES MALTRATADAS (SAVD),2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,35 - 39,TRABAJO Y EMPLEO,37
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,35 - 39,VIVIENDA,6
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,35 - 39,VIVIENDA CM,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,40 - 44,ASOCIACIONES ONG,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,40 - 44,ATENCIÓN PSICOLOGICA,3
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,40 - 44,AYUDA COMEDOR ESCOLAR,5
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,40 - 44,AYUDA ECONÓMICA COMEDOR ESCOLAR,6
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,40 - 44,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS,43
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,40 - 44,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALOJAMIENTO,8
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,40 - 44,CENTRO ATENCIÓN PERSONAS SIN HOGAR / PUE,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,40 - 44,CENTRO BASE ATENC. PERSON. CON DISCAPACIDAD CM,4
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,40 - 44,CENTRO DE APOYO A LA FAMILIA,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,40 - 44,CENTROS ABIERTOS ,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,40 - 44,CENTROS ESCOLARES CM,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,40 - 44,COBERTURA NECESIDADES BASICAS,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,40 - 44,DEPENDENCIA CM,6
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,40 - 44,EDUCADOR SOCIAL,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,40 - 44,INGRESO MÍNIMO VITAL,5
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,40 - 44,OFICINA MUNICIPAL DE INFORMACIÓN Y ORIENTACION PARA POBLACION INMIGRANTE,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,40 - 44,PROYECTOS PROPIOS DEL DISTRITO,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,40 - 44,RENTA MINÍMA DE INSERCIÓN,15
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,40 - 44,TITULO FAMILIA NUMEROSA CM,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,40 - 44,TRABAJO Y EMPLEO,24
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,40 - 44,VIVIENDA,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,40 - 44,VIVIENDA CM,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,45 - 49,ASOCIACIONES ONG,5
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,45 - 49,AYUDA ECONÓMICA COMEDOR ESCOLAR,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,45 - 49,AYUDA ECONÓMICA GASTOS EXCEPCIONALES Y OTROS,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,45 - 49,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS,56
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,45 - 49,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALOJAMIENTO,6
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,45 - 49,AYUDA PAGO NECESIDADES DE ALOJAMIENTO,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,45 - 49,CENTRO ATENCIÓN PERSONAS SIN HOGAR / PUE,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,45 - 49,CENTRO BASE ATENC. PERSON. CON DISCAPACIDAD CM,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,45 - 49,COBERTURA NECESIDADES BASICAS,3
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,45 - 49,DEPENDENCIA CM,4
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,45 - 49,EDUCADOR SOCIAL,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,45 - 49,INFORME DERIVACION GENERAL,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,45 - 49,INFORME SOCIAL GENERAL,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,45 - 49,INGRESO MÍNIMO VITAL,3
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,45 - 49,OFICINA MUNICIPAL DE INFORMACIÓN Y ORIENTACION PARA POBLACION INMIGRANTE,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,45 - 49,RENTA MINÍMA DE INSERCIÓN,7
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,45 - 49,SERVICIO DE AYUDA A DOMICILIO DISCAPACITADOS,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,45 - 49,SERVICIO DE AYUDA A DOMICILIO DISCAPACITADOS EXCEPCIONAL,5
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,45 - 49,TELEASISTENCIA DISCAPACITADOS DEPENDENCIA,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,45 - 49,TRABAJO Y EMPLEO,28
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,45 - 49,VIVIENDA,5
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,45 - 49,VIVIENDA CM,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,ASOCIACIONES ONG,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,ATENCIÓN PSICOLOGICA,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,AYUDA ECONÓMICA GASTOS EXCEPCIONALES Y OTROS,3
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS,51
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALOJAMIENTO,4
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,AYUDA ECONÓMICA PEQUEÑAS REPARACIONES DE VIVIENDA HABITUAL Y AYUDAS TÉCNICAS,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,AYUDA PAGO NECESIDADES DE ALOJAMIENTO,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,CENTRO BASE ATENC. PERSON. CON DISCAPACIDAD CM,3
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,CENTRO DE APOYO A LA FAMILIA,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,CENTRO DE DÍA (PERSONAS CON DETERIORO FÍSICO  O RELACIONAL),1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,COBERTURA NECESIDADES BASICAS,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,DEPENDENCIA CM,11
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,EDUCACIÓN / CULTURA CM,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,INFORME DERIVACION GENERAL,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,INFORME SOCIAL GENERAL,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,INGRESO MÍNIMO VITAL,6
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,PENSION NO CONTRIBUTIVA CM,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,PENSION NO CONTRIBUTIVA INVALIDEZ,9
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,RENTA MINÍMA DE INSERCIÓN,9
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,SERVICIO DE AYUDA  A DOMICILIO  MAYORES,3
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,SERVICIO DE AYUDA A DOMICILIO DISCAPACITADOS EXCEPCIONAL,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,SERVICIO DE AYUDA A DOMICILIO MAYORES EXCEPCIONAL,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,TELEASISTENCIA DISCAPACITADOS ASP,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,TELEASISTENCIA MAYORES ASP,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,TRABAJO Y EMPLEO,36
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,VIVIENDA,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,ASOCIACIONES ONG,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,ATENCIÓN PSICOLOGICA,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,AYUDA ECONÓMICA GASTOS EXCEPCIONALES Y OTROS,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS,36
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALOJAMIENTO,12
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,CENTRO BASE ATENC. PERSON. CON DISCAPACIDAD CM,3
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,CENTRO DE ACOGIDA MUJER CM,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,CENTRO DE ATENCIÓN A DROGODEPENDIENTES,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,CENTROS DE ACOGIDA,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,COBERTURA NECESIDADES BASICAS,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,COMIDA A DOMICILIO,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,DEPENDENCIA CM,6
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,INFORME DERIVACION GENERAL,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,INFORME SOCIAL FISCALIA DE MENORES,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,INGRESO MÍNIMO VITAL,6
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,PENSION NO CONTRIBUTIVA INVALIDEZ,3
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,PISOS TUTELADOS MAYORES CM,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,PROYECTOS PROPIOS DEL DISTRITO,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,RENTA MINÍMA DE INSERCIÓN,7
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,RESIDENCIA (MAYORES CON DETERIORO FÍSICO O RELACIONAL) ,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,SALUD Y SEGURIDAD SOCIAL CM,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,SERVICIO AYUDA A DOMICILIO MAYORES DEPENDENCIA,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,SERVICIO DE AYUDA  A DOMICILIO  MAYORES,6
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,SERVICIO DE AYUDA A DOMICILIO DISCAPACITADOS,7
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,TELEASISTENCIA DISCAPACITADOS ASP,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,TELEASISTENCIA MAYORES ASP,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,TRABAJO Y EMPLEO,32
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,VIVIENDA,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,60 - 64,ASOCIACIONES ONG,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,60 - 64,ATENCIÓN PSICOLOGICA,3
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,60 - 64,AYUDA COMEDOR MAYORES,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,60 - 64,AYUDA ECONÓMICA GASTOS EXCEPCIONALES Y OTROS,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,60 - 64,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS,17
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,60 - 64,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALOJAMIENTO,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,60 - 64,CENTRO BASE ATENC. PERSON. CON DISCAPACIDAD CM,4
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,60 - 64,CENTROS MUNICIPALES MAYORES,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,60 - 64,COBERTURA NECESIDADES BASICAS,4
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,60 - 64,DEPENDENCIA CM,10
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,60 - 64,EDUCACIÓN / CULTURA CM,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,60 - 64,EDUCADOR SOCIAL,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,60 - 64,INGRESO MÍNIMO VITAL,8
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,60 - 64,PENSION NO CONTRIBUTIVA INVALIDEZ,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,60 - 64,PROYECTOS PROPIOS DEL DISTRITO,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,60 - 64,RENTA MINÍMA DE INSERCIÓN,7
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,60 - 64,SERVICIO DE AYUDA  A DOMICILIO  MAYORES,4
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,60 - 64,SERVICIO DE AYUDA A DOMICILIO DISCAPACITADOS,10
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,60 - 64,SERVICIO DE AYUDA A DOMICILIO MAYORES EXCEPCIONAL,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,60 - 64,TELEASISTENCIA DISCAPACITADOS ASP,5
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,60 - 64,TELEASISTENCIA DISCAPACITADOS DEPENDENCIA,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,60 - 64,TELEASISTENCIA MAYORES ASP,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,60 - 64,TRABAJO Y EMPLEO,12
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,60 - 64,VIVIENDA,3
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,60 - 64,VIVIENDA CM,4
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,65 - 69,ACOGIMIENTO FAMILIAR EN FAMILIA EXTENSA CM,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,65 - 69,ASOCIACIONES ONG,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,65 - 69,ATENCIÓN PSICOLOGICA,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,65 - 69,AYUDA ECONÓMICA GASTOS EXCEPCIONALES Y OTROS,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,65 - 69,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS,12
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,65 - 69,AYUDAS ACONDICIONAMIENTO GERIATRICO,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,65 - 69,CENTRO BASE ATENC. PERSON. CON DISCAPACIDAD CM,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,65 - 69,CENTRO DE DÍA (ENFERMOS DE ALZHEIMER U OTRAS DEMENCIAS),3
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,65 - 69,CENTRO DE DÍA (PERSONAS CON DETERIORO FÍSICO  O RELACIONAL),2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,65 - 69,COBERTURA NECESIDADES BASICAS,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,65 - 69,COMIDA A DOMICILIO,3
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,65 - 69,DEPENDENCIA CM,14
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,65 - 69,INGRESO MÍNIMO VITAL,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,65 - 69,PENSION NO CONTRIBUTIVA CM,3
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,65 - 69,PENSION NO CONTRIBUTIVA INVALIDEZ,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,65 - 69,PENSIONES CONTRIBUTIVAS CM,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,65 - 69,PISOS TUTELADOS MAYORES CM,1
